Exchange,Token,LotSize,Symbol,TradingSymbol,Expiry,Instrument,OptionType,StrikePrice,TickSize,
BFO,836815,2000,ZOMAOPT,ZOMATO25MAR330PE,13-MAR-2025,OPTSTK,PE,330,0.05,
BFO,836043,2000,ZOMAOPT,ZOMATO25MAR325PE,13-MAR-2025,OPTSTK,PE,325,0.05,
BFO,832378,2000,ZOMAOPT,ZOMATO25MAR320PE,13-MAR-2025,OPTSTK,PE,320,0.05,
BFO,834687,2000,ZOMAOPT,ZOMATO25MAR315PE,13-MAR-2025,OPTSTK,PE,315,0.05,
BFO,834461,2000,ZOMAOPT,ZOMATO25MAR310PE,13-MAR-2025,OPTSTK,PE,310,0.05,
BFO,827390,2000,ZOMAOPT,ZOMATO25MAR305PE,13-MAR-2025,OPTSTK,PE,305,0.05,
BFO,827162,2000,ZOMAOPT,ZOMATO25MAR300PE,13-MAR-2025,OPTSTK,PE,300,0.05,
BFO,828644,2000,ZOMAOPT,ZOMATO25MAR295PE,13-MAR-2025,OPTSTK,PE,295,0.05,
BFO,828390,2000,ZOMAOPT,ZOMATO25MAR290PE,13-MAR-2025,OPTSTK,PE,290,0.05,
BFO,835162,2000,ZOMAOPT,ZOMATO25MAR285PE,13-MAR-2025,OPTSTK,PE,285,0.05,
BFO,834917,2000,ZOMAOPT,ZOMATO25MAR280PE,13-MAR-2025,OPTSTK,PE,280,0.05,
BFO,827845,2000,ZOMAOPT,ZOMATO25MAR275PE,13-MAR-2025,OPTSTK,PE,275,0.05,
BFO,827608,2000,ZOMAOPT,ZOMATO25MAR270PE,13-MAR-2025,OPTSTK,PE,270,0.05,
BFO,830436,2000,ZOMAOPT,ZOMATO25MAR265PE,13-MAR-2025,OPTSTK,PE,265,0.05,
BFO,830197,2000,ZOMAOPT,ZOMATO25MAR260PE,13-MAR-2025,OPTSTK,PE,260,0.05,
BFO,832516,2000,ZOMAOPT,ZOMATO25MAR255PE,13-MAR-2025,OPTSTK,PE,255,0.05,
BFO,832290,2000,ZOMAOPT,ZOMATO25MAR250PE,13-MAR-2025,OPTSTK,PE,250,0.05,
BFO,839190,2000,ZOMAOPT,ZOMATO25MAR245PE,13-MAR-2025,OPTSTK,PE,245,0.05,
BFO,840090,2000,ZOMAOPT,ZOMATO25MAR240PE,13-MAR-2025,OPTSTK,PE,240,0.05,
BFO,841801,2000,ZOMAOPT,ZOMATO25MAR235PE,13-MAR-2025,OPTSTK,PE,235,0.05,
BFO,845363,2000,ZOMAOPT,ZOMATO25MAR230PE,13-MAR-2025,OPTSTK,PE,230,0.05,
BFO,845926,2000,ZOMAOPT,ZOMATO25MAR225PE,13-MAR-2025,OPTSTK,PE,225,0.05,
BFO,845921,2000,ZOMAOPT,ZOMATO25MAR220PE,13-MAR-2025,OPTSTK,PE,220,0.05,
BFO,846108,2000,ZOMAOPT,ZOMATO25MAR215PE,13-MAR-2025,OPTSTK,PE,215,0.05,
BFO,836699,2000,ZOMAOPT,ZOMATO25MAR330CE,13-MAR-2025,OPTSTK,CE,330,0.05,
BFO,836371,2000,ZOMAOPT,ZOMATO25MAR325CE,13-MAR-2025,OPTSTK,CE,325,0.05,
BFO,826734,2000,ZOMAOPT,ZOMATO25MAR320CE,13-MAR-2025,OPTSTK,CE,320,0.05,
BFO,829045,2000,ZOMAOPT,ZOMATO25MAR315CE,13-MAR-2025,OPTSTK,CE,315,0.05,
BFO,828781,2000,ZOMAOPT,ZOMATO25MAR310CE,13-MAR-2025,OPTSTK,CE,310,0.05,
BFO,831611,2000,ZOMAOPT,ZOMATO25MAR305CE,13-MAR-2025,OPTSTK,CE,305,0.05,
BFO,831356,2000,ZOMAOPT,ZOMATO25MAR300CE,13-MAR-2025,OPTSTK,CE,300,0.05,
BFO,832833,2000,ZOMAOPT,ZOMATO25MAR295CE,13-MAR-2025,OPTSTK,CE,295,0.05,
BFO,832617,2000,ZOMAOPT,ZOMATO25MAR290CE,13-MAR-2025,OPTSTK,CE,290,0.05,
BFO,834932,2000,ZOMAOPT,ZOMATO25MAR285CE,13-MAR-2025,OPTSTK,CE,285,0.05,
BFO,834704,2000,ZOMAOPT,ZOMATO25MAR280CE,13-MAR-2025,OPTSTK,CE,280,0.05,
BFO,827622,2000,ZOMAOPT,ZOMATO25MAR275CE,13-MAR-2025,OPTSTK,CE,275,0.05,
BFO,827410,2000,ZOMAOPT,ZOMATO25MAR270CE,13-MAR-2025,OPTSTK,CE,270,0.05,
BFO,830210,2000,ZOMAOPT,ZOMATO25MAR265CE,13-MAR-2025,OPTSTK,CE,265,0.05,
BFO,829496,2000,ZOMAOPT,ZOMATO25MAR260CE,13-MAR-2025,OPTSTK,CE,260,0.05,
BFO,832305,2000,ZOMAOPT,ZOMATO25MAR255CE,13-MAR-2025,OPTSTK,CE,255,0.05,
BFO,832081,2000,ZOMAOPT,ZOMATO25MAR250CE,13-MAR-2025,OPTSTK,CE,250,0.05,
BFO,839447,2000,ZOMAOPT,ZOMATO25MAR245CE,13-MAR-2025,OPTSTK,CE,245,0.05,
BFO,840126,2000,ZOMAOPT,ZOMATO25MAR240CE,13-MAR-2025,OPTSTK,CE,240,0.05,
BFO,841792,2000,ZOMAOPT,ZOMATO25MAR235CE,13-MAR-2025,OPTSTK,CE,235,0.05,
BFO,845352,2000,ZOMAOPT,ZOMATO25MAR230CE,13-MAR-2025,OPTSTK,CE,230,0.05,
BFO,845922,2000,ZOMAOPT,ZOMATO25MAR225CE,13-MAR-2025,OPTSTK,CE,225,0.05,
BFO,845917,2000,ZOMAOPT,ZOMATO25MAR220CE,13-MAR-2025,OPTSTK,CE,220,0.05,
BFO,846103,2000,ZOMAOPT,ZOMATO25MAR215CE,13-MAR-2025,OPTSTK,CE,215,0.05,
BFO,836623,2000,ZOMAOPT,ZOMATO25JAN330PE,09-JAN-2025,OPTSTK,PE,330,0.05,
BFO,836258,2000,ZOMAOPT,ZOMATO25JAN325PE,09-JAN-2025,OPTSTK,PE,325,0.05,
BFO,2250444,2000,ZOMAOPT,ZOMATO25JAN320PE,09-JAN-2025,OPTSTK,PE,320,0.05,
BFO,832196,2000,ZOMAOPT,ZOMATO25JAN315PE,09-JAN-2025,OPTSTK,PE,315,0.05,
BFO,831964,2000,ZOMAOPT,ZOMATO25JAN310PE,09-JAN-2025,OPTSTK,PE,310,0.05,
BFO,834278,2000,ZOMAOPT,ZOMATO25JAN305PE,09-JAN-2025,OPTSTK,PE,305,0.05,
BFO,2034430,2000,ZOMAOPT,ZOMATO25JAN300PE,09-JAN-2025,OPTSTK,PE,300,0.05,
BFO,826114,2000,ZOMAOPT,ZOMATO25JAN295PE,09-JAN-2025,OPTSTK,PE,295,0.05,
BFO,835277,2000,ZOMAOPT,ZOMATO25JAN290PE,09-JAN-2025,OPTSTK,PE,290,0.05,
BFO,828177,2000,ZOMAOPT,ZOMATO25JAN285PE,09-JAN-2025,OPTSTK,PE,285,0.05,
BFO,2236809,2000,ZOMAOPT,ZOMATO25JAN280PE,09-JAN-2025,OPTSTK,PE,280,0.05,
